,observation,trial,load,stimulus_type,ended_on,url_code,trial_type,trial_seq,color_offset,color_angle_test,color_angle_deviation,color_angle_abs_deviation,stimulus_seq
1,066af,practice,1,ongoing,response,2496,practice,1,-134.214683103928,29.8227467148492,-3.82274671484925,3.82274671484925,1
2,066af,practice,1,ongoing,response,2496,practice,1,167.127299643883,61.4575443450988,-0.457544345098768,0.457544345098768,2
3,066af,practice,1,ongoing,response,2496,practice,1,33.4673247630262,149.090914454898,1.90908554510179,1.90908554510179,3
4,066af,practice,1,ongoing,response,2496,practice,1,-42.3366333578454,-145.76748350906,-18.2325164909405,18.2325164909405,4
5,066af,practice,1,ongoing,response,2496,practice,1,-173.637090592165,51.3629094078348,-6.36290940783488,6.36290940783488,5
6,066af,baseline1,1,ongoing,response,2496,ongoing,1,111.416208838005,46.0911283064546,-7.09112830645461,7.09112830645461,1
7,066af,baseline1,1,ongoing,response,2496,ongoing,1,-66.6140400105976,121.550996003498,-7.55099600349808,7.55099600349808,2
8,066af,baseline1,1,ongoing,response,2496,ongoing,1,-1.19947619923622,22.7224468858267,12.2775531141733,12.2775531141733,3
9,066af,baseline1,1,ongoing,response,2496,ongoing,1,177.503858844518,150.088824500973,6.91117549902685,6.91117549902685,4
10,066af,baseline1,1,ongoing,response,2496,ongoing,1,-28.8603564988655,-92.1628609311253,-3.83713906887465,3.83713906887465,5
11,066af,baseline1,1,ongoing,response,2496,ongoing,1,-0.826897044570757,149.593977458753,-11.5939774587529,11.5939774587529,6
12,066af,baseline1,1,ongoing,response,2496,ongoing,1,-174.469131781169,89.1227274907611,-5.12272749076101,5.12272749076101,7
13,066af,baseline1,1,ongoing,response,2496,ongoing,1,176.592222382263,112.946494754542,-5.94649475454196,5.94649475454196,8
14,066af,baseline1,1,ongoing,response,2496,ongoing,1,-90.1897349683552,132.873012502113,-13.8730125021129,13.8730125021129,9
15,066af,baseline1,1,ongoing,response,2496,ongoing,1,80.1452547154266,88.025104311384,0.974895688616016,0.974895688616016,10
16,066af,baseline1,1,ongoing,response,2496,ongoing,1,34.8348771400428,-66.1544159265413,-0.845584073458667,0.845584073458667,11
17,066af,baseline1,1,ongoing,response,2496,ongoing,1,-163.980421611767,133.41607961712,-25.4160796171202,25.4160796171202,12
18,066af,baseline1,1,ongoing,response,2496,ongoing,1,137.630505644367,26.5821071610894,-0.582107161089425,0.582107161089425,13
19,066af,baseline1,1,ongoing,response,2496,ongoing,1,-2.21402216178228,-51.7033157321754,-12.2966842678246,12.2966842678246,14
20,066af,baseline1,1,ongoing,response,2496,ongoing,1,4.79735601506999,-118.799291846756,2.79929184675643,2.79929184675643,15
21,066af,baseline1,1,ongoing,response,2496,ongoing,1,100.471415505844,149.469953228797,-14.4699532287973,14.4699532287973,16
22,066af,baseline1,1,ongoing,response,2496,ongoing,1,-11.0288122759867,114.721928214493,-1.72192821449335,1.72192821449335,17
23,066af,baseline1,1,ongoing,response,2496,ongoing,1,54.0554449316144,63.0112543440008,-15.0112543440008,15.0112543440008,18
24,066af,baseline1,1,ongoing,response,2496,ongoing,1,132.969436882026,176.916269552578,-9.916269552578,9.916269552578,19
25,066af,baseline1,1,ongoing,response,2496,ongoing,1,-75.7832485268672,-0.0474454232398784,8.04744542323988,8.04744542323988,20
26,066af,baseline1,1,ongoing,response,2496,ongoing,1,46.596479977804,-144.496470699871,-5.50352930012946,5.50352930012946,21
27,066af,baseline1,1,ongoing,response,2496,ongoing,1,-12.4539012124052,19.4221477900442,-8.42214779004416,8.42214779004416,22
28,066af,baseline1,1,ongoing,response,2496,ongoing,1,88.498215423324,120.271204116186,-11.2712041161864,11.2712041161864,23
